titles,years,assessment
Alfred Hitchcock Presents,(1955),9.4
Your Lie in April,(2014),9.4
Avrupa Yakasi,(2004),9.4
Big Little Lies,(2017),9.4
Southland,(2009),9.4
The Knick,(2014),9.4
Foyle's War,(2002),9.4
Gintama,(2005),9.4
Black Books,(2000),9.4
The Defiant Ones,(2017),9.4
X-Men: The Animated Series,(1992),9.4
